ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-01-01,100338.62048629232,79974.9362243128,119138.23692503315,100338.62048629232,100338.62048629232,-817.0517691681795,-817.0517691681795,-817.0517691681795,-817.0517691681795,-817.0517691681795,-817.0517691681795,0.0,0.0,0.0,99521.56871712414
2022-01-02,100340.38593703286,83650.79112246846,118882.42619232785,100340.38593703286,100340.38593703286,1165.7932259036334,1165.7932259036334,1165.7932259036334,1165.7932259036334,1165.7932259036334,1165.7932259036334,0.0,0.0,0.0,101506.17916293649
2022-01-03,100342.15138777341,81332.25720832495,116217.4142108802,100342.15138777341,100342.15138777341,-259.4883450077341,-259.4883450077341,-259.4883450077341,-259.4883450077341,-259.4883450077341,-259.4883450077341,0.0,0.0,0.0,100082.66304276568
2022-01-04,100343.91683851393,81282.92987651845,118881.83843262943,100343.91683851393,100343.91683851393,70.628708832379,70.628708832379,70.628708832379,70.628708832379,70.628708832379,70.628708832379,0.0,0.0,0.0,100414.54554734631
2022-01-05,100345.68228925449,83212.62504077597,117952.27898278415,100345.68228925449,100345.68228925449,176.94166484259435,176.94166484259435,176.94166484259435,176.94166484259435,176.94166484259435,176.94166484259435,0.0,0.0,0.0,100522.62395409709
2022-01-06,100347.44773999503,82536.49445754275,118458.123299629,100347.44773999503,100347.44773999503,-668.9158422321576,-668.9158422321576,-668.9158422321576,-668.9158422321576,-668.9158422321576,-668.9158422321576,0.0,0.0,0.0,99678.53189776286
2022-01-07,100349.21319073557,83091.68964640892,120502.6810353165,100349.21319073557,100349.21319073557,332.0923568248928,332.0923568248928,332.0923568248928,332.0923568248928,332.0923568248928,332.0923568248928,0.0,0.0,0.0,100681.30554756046
2022-01-08,100350.97864147612,82021.28075186884,117780.03545163751,100350.97864147612,100350.97864147612,-817.0517691703559,-817.0517691703559,-817.0517691703559,-817.0517691703559,-817.0517691703559,-817.0517691703559,0.0,0.0,0.0,99533.92687230576
2022-01-09,100352.74409221664,82437.02534568326,119597.29829432211,100352.74409221664,100352.74409221664,1165.793225903134,1165.793225903134,1165.793225903134,1165.793225903134,1165.793225903134,1165.793225903134,0.0,0.0,0.0,101518.53731811978
2022-01-10,100354.5095429572,82377.22399524534,119123.57550008273,100354.5095429572,100354.5095429572,-259.48834501164293,-259.48834501164293,-259.48834501164293,-259.48834501164293,-259.48834501164293,-259.48834501164293,0.0,0.0,0.0,100095.02119794555
2022-01-11,100356.27499369773,81702.13534594626,118486.66347284421,100356.27499369773,100356.27499369773,70.62870883672798,70.62870883672798,70.62870883672798,70.62870883672798,70.62870883672798,70.62870883672798,0.0,0.0,0.0,100426.90370253446
2022-01-12,100358.04044443829,81980.46737781525,118948.85921973421,100358.04044443829,100358.04044443829,176.94166484958055,176.94166484958055,176.94166484958055,176.94166484958055,176.94166484958055,176.94166484958055,0.0,0.0,0.0,100534.98210928787
2022-01-13,100359.80589517883,81548.55156213901,117577.44253870941,100359.80589517883,100359.80589517883,-668.9158422334174,-668.9158422334174,-668.9158422334174,-668.9158422334174,-668.9158422334174,-668.9158422334174,0.0,0.0,0.0,99690.89005294541
2022-01-14,100361.57134591936,81892.8799501886,119231.30257151104,100361.57134591936,100361.57134591936,332.0923568277881,332.0923568277881,332.0923568277881,332.0923568277881,332.0923568277881,332.0923568277881,0.0,0.0,0.0,100693.66370274716
2022-01-15,100363.3367966599,81533.18052757293,115911.68305973471,100363.3367966599,100363.3367966599,-817.0517691698657,-817.0517691698657,-817.0517691698657,-817.0517691698657,-817.0517691698657,-817.0517691698657,0.0,0.0,0.0,99546.28502749004
2022-01-16,100365.10224740044,83840.73445624764,119658.72750281179,100365.10224740044,100365.10224740044,1165.7932259052764,1165.7932259052764,1165.7932259052764,1165.7932259052764,1165.7932259052764,1165.7932259052764,0.0,0.0,0.0,101530.89547330572
2022-01-17,100366.867698141,81720.78194822205,118687.65208950048,100366.867698141,100366.867698141,-259.4883450109196,-259.4883450109196,-259.4883450109196,-259.4883450109196,-259.4883450109196,-259.4883450109196,0.0,0.0,0.0,100107.37935313008
2022-01-18,100368.63314888153,82656.54859993311,117986.90733738428,100368.63314888153,100368.63314888153,70.62870884107684,70.62870884107684,70.62870884107684,70.62870884107684,70.62870884107684,70.62870884107684,0.0,0.0,0.0,100439.26185772261
2022-01-19,100370.39859962207,81480.9190800076,119073.27577169846,100370.39859962207,100370.39859962207,176.94166484497782,176.94166484497782,176.94166484497782,176.94166484497782,176.94166484497782,176.94166484497782,0.0,0.0,0.0,100547.34026446706
2022-01-20,100372.16405036263,83180.03328130435,118881.08992175547,100372.16405036263,100372.16405036263,-668.915842234677,-668.915842234677,-668.915842234677,-668.915842234677,-668.915842234677,-668.915842234677,0.0,0.0,0.0,99703.24820812794
