date,revenue,expenses,profit
2022-01-01,125327.15947325683,59489.380100794035,65837.7793724628
2022-01-02,115710.33213366376,75816.9225913485,39893.40954231526
2022-01-03,79126.5025117049,82385.99694037058,-3259.494428665683
2022-01-04,98624.12620086031,69967.94132719653,28656.184873663777
2022-01-05,111422.98776512574,62841.317533309084,48581.67023181666
2022-01-06,90728.96090412709,63415.3267163345,27313.634187792588
2022-01-07,121205.36944541591,99879.64060772886,21325.728837687057
2022-01-08,79812.76285681399,80999.0879401485,-1186.3250833345082
2022-01-09,95749.16634374605,66413.75173874747,29335.414604998587
2022-01-10,104050.77437764606,88728.80966888231,15321.964708763742
2022-01-11,100417.14845622641,81551.03189829504,18866.116557931367
2022-01-12,90277.17487373456,78339.73587962077,11937.438994113792
2022-01-13,104972.38430242767,101921.04052875986,3051.343773667817
2022-01-14,86037.75580171603,71835.35884097486,14202.396960741171
2022-01-15,122744.27398614856,83690.88556253674,39053.38842361182
2022-01-16,72821.91553109541,84834.91291195859,-12012.997380863177
2022-01-17,79880.34988796212,60820.2864480481,19060.063439914018
2022-01-18,69957.79910118537,72584.12600510438,-2626.3269039190054
2022-01-19,91070.23278991952,91089.6444544291,-19.41166450957826
2022-01-20,77544.86790314472,82215.46100242478,-4670.593099280057
2022-01-21,103279.15640093389,81185.25658854058,22093.899812393312
2022-01-22,112033.45425184909,80170.10426946243,31863.34998238666
2022-01-23,114166.21960821809,61368.59080786628,52797.628800351806
2022-01-24,108507.41492709493,91739.90281676213,16767.5121103328
2022-01-25,79066.68744954953,88280.12775906596,-9213.44030951643
2022-01-26,113269.75209096434,60038.59399042986,53231.15810053448
2022-01-27,95651.00272157772,64387.120912620834,31263.88180895689
2022-01-28,94026.83691355775,76457.96576391062,17568.871149647137
2022-01-29,114829.06550061755,48942.37505743047,65886.69044318708
2022-01-30,87284.76292736047,42086.50761554871,45198.25531181176
2022-01-31,95595.7306742493,73384.76182423247,22210.968850016827
2022-02-01,99135.87593528688,96285.13525209714,2850.740683189739
2022-02-02,112415.24137724825,78725.86216065187,33689.37921659638
2022-02-03,97055.36565939435,76468.58180862795,20586.7838507664
2022-02-04,111307.0410265906,74419.23030026272,36887.81072632788
2022-02-05,91386.04614656806,80492.2002194175,10893.845927150556
2022-02-06,107807.01734655991,71508.50721183328,36298.51013472663
2022-02-07,86771.75211615187,76866.72808287182,9905.024033280046
2022-02-08,115360.48771729245,95094.02938137,20266.45833592245
2022-02-09,110300.50677712828,81603.14104753088,28697.365729597397
2022-02-10,110943.44938652508,88600.85380188811,22342.595584636976
2022-02-11,81622.77908953196,68952.28730089877,12670.491788633197
2022-02-12,92076.16606949436,97364.65211600426,-5288.486046509905
2022-02-13,129358.78106555263,72656.88285260987,56701.89821294276
2022-02-14,92706.93168398799,73867.7934660835,18839.13821790449
2022-02-15,94938.2360644198,79191.52901988638,15746.707044533425
2022-02-16,108451.23547687515,87430.36099749302,21020.87447938214
2022-02-17,99290.48784366008,77950.22297814618,21340.264865513906
2022-02-18,84839.34238207499,79129.39050286265,5709.951879212342
2022-02-19,106573.93641930124,75269.20613135172,31304.730287949526
2022-02-20,116032.58649371057,82239.33496692842,33793.25152678214
2022-02-21,109654.18814748219,81811.30497313009,27842.8831743521
2022-02-22,103742.91139558738,92185.66586063721,11557.245534950169
2022-02-23,117176.86175673755,107844.13762344158,9332.724133295967
2022-02-24,109124.72905874705,76697.5154125772,32427.213646169854
2022-02-25,91335.60767080422,94478.87499476058,-3143.267323956359
2022-02-26,116171.63692406239,80845.25255034331,35326.38437371908
2022-02-27,99102.0820030487,50893.45069512061,48208.63130792808
2022-02-28,124260.895691687,82997.72959072224,41263.16610096475
2022-03-01,112524.05184791895,67321.20173955595,45202.850108362996
2022-03-02,92664.95677192918,99925.03755345491,-7260.0807815257285
2022-03-03,96140.80864500199,90342.18448192911,5798.624163072876
2022-03-04,80090.07718867395,73579.62050994826,6510.456678725692
2022-03-05,83779.05127796574,77152.36637289631,6626.684905069429
2022-03-06,91687.18903767623,85506.89560975929,6180.293427916942
2022-03-07,91747.01675634627,78006.08329733412,13740.933459012158
2022-03-08,106371.85822098028,91960.45838655773,14411.399834422555
2022-03-09,86823.28782711398,82679.82902905442,4143.458798059553
2022-03-10,84963.0630564231,83848.81778013588,1114.2452762872126
2022-03-11,101362.89208066375,86962.7259599719,14400.16612069185
2022-03-12,102042.47286153265,68778.2315530164,33264.24130851624
2022-03-13,112875.27287577555,77895.85733427212,34979.41554150343
2022-03-14,107357.50361956787,82766.16085191083,24591.342767657043
2022-03-15,88081.61571178777,87390.04352109616,691.5721906916151
2022-03-16,98909.08442824765,100891.278442888,-1982.1940146403504
2022-03-17,106875.18303762029,81897.89884826292,24977.284189357364
2022-03-18,109037.70220373425,79443.54026885162,29594.161934882635
2022-03-19,109576.46865030608,67140.85713085499,42435.61151945109
2022-03-20,80944.46739263172,93835.48741491613,-12891.020022284414
2022-03-21,101484.6760012264,84997.64849546588,16487.027505760518
2022-03-22,102585.58339936257,98215.14962390884,4370.433775453726
2022-03-23,98790.33403877038,72019.97635348493,26770.357685285446
2022-03-24,72516.29608036618,75833.42937396014,-3317.133293593957
